2025-10-15 18:32:36,290 - nanochat.checkpoint_manager - [32m[1mINFO[0m - No model tag provided, guessing model tag: d20
2025-10-15 18:32:36,290 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Loading model from /root/.cache/nanochat/base_checkpoints/d20 with step 21400
2025-10-15 18:32:37,457 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Building model with config: {'sequence_len': 2048, 'vocab_size': 65536, 'n_layer': 20, 'n_head': 10, 'n_kv_head': 10, 'n_embd': 1280}
Tokens / micro-batch / rank: 32 x 2048 = 65,536
Tokens / micro-batch: 524,288
Total batch size 524,288 => gradient accumulation steps: 1
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Muon: Grouping 80 params of shape torch.Size([1280, 1280]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([1280, 5120]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([5120, 1280]), device cuda:0, dtype torch.float32
Map: 100%|█████████████████████████████████████████| 99842/99842 [00:09<00:00, 10498.24 examples/s]
Step 00000 | Validation bpb: 0.6934
step 00001 (0.28%) | loss: 1.284350 | lrm: 0.00 | dt: 15133.87ms | tok/sec: 34,643 | mfu: 1.53 | total time: 0.00m
step 00002 (0.41%) | loss: 1.761283 | lrm: 0.00 | dt: 710.82ms | tok/sec: 737,578 | mfu: 32.55 | total time: 0.00m
step 00003 (0.54%) | loss: 1.991005 | lrm: 0.01 | dt: 468.19ms | tok/sec: 1,119,810 | mfu: 49.42 | total time: 0.00m
step 00004 (0.68%) | loss: 2.122084 | lrm: 0.01 | dt: 478.39ms | tok/sec: 1,095,949 | mfu: 48.37 | total time: 0.00m
step 00005 (0.82%) | loss: 2.210748 | lrm: 0.01 | dt: 471.05ms | tok/sec: 1,113,027 | mfu: 49.12 | total time: 0.00m
step 00006 (0.96%) | loss: 2.287734 | lrm: 0.01 | dt: 476.67ms | tok/sec: 1,099,899 | mfu: 48.54 | total time: 0.00m
step 00007 (1.09%) | loss: 2.340795 | lrm: 0.01 | dt: 476.42ms | tok/sec: 1,100,462 | mfu: 48.57 | total time: 0.00m
step 00008 (1.23%) | loss: 2.367645 | lrm: 0.01 | dt: 475.11ms | tok/sec: 1,103,499 | mfu: 48.70 | total time: 0.00m
step 00009 (1.37%) | loss: 2.399571 | lrm: 0.01 | dt: 473.18ms | tok/sec: 1,108,017 | mfu: 48.90 | total time: 0.00m
step 00010 (1.50%) | loss: 2.426983 | lrm: 0.02 | dt: 476.17ms | tok/sec: 1,101,043 | mfu: 48.59 | total time: 0.00m
step 00011 (1.63%) | loss: 2.457979 | lrm: 0.02 | dt: 475.64ms | tok/sec: 1,102,281 | mfu: 48.65 | total time: 0.01m
step 00012 (1.77%) | loss: 2.471117 | lrm: 0.02 | dt: 478.16ms | tok/sec: 1,096,477 | mfu: 48.39 | total time: 0.02m
step 00013 (1.89%) | loss: 2.476373 | lrm: 0.02 | dt: 477.82ms | tok/sec: 1,097,245 | mfu: 48.42 | total time: 0.02m
step 00014 (2.03%) | loss: 2.478044 | lrm: 0.02 | dt: 479.03ms | tok/sec: 1,094,471 | mfu: 48.30 | total time: 0.03m
step 00015 (2.16%) | loss: 2.483778 | lrm: 0.02 | dt: 476.53ms | tok/sec: 1,100,216 | mfu: 48.56 | total time: 0.04m
step 00016 (2.30%) | loss: 2.485046 | lrm: 0.02 | dt: 475.49ms | tok/sec: 1,102,627 | mfu: 48.66 | total time: 0.05m
step 00017 (2.42%) | loss: 2.482515 | lrm: 0.02 | dt: 637.68ms | tok/sec: 822,175 | mfu: 36.28 | total time: 0.06m
step 00018 (2.56%) | loss: 2.468232 | lrm: 0.03 | dt: 468.57ms | tok/sec: 1,118,912 | mfu: 49.38 | total time: 0.07m
step 00019 (2.68%) | loss: 2.465479 | lrm: 0.03 | dt: 485.27ms | tok/sec: 1,080,412 | mfu: 47.68 | total time: 0.07m
step 00020 (2.81%) | loss: 2.469982 | lrm: 0.03 | dt: 906.89ms | tok/sec: 578,119 | mfu: 25.51 | total time: 0.09m
step 00021 (2.93%) | loss: 2.465003 | lrm: 0.03 | dt: 469.65ms | tok/sec: 1,116,347 | mfu: 49.27 | total time: 0.10m
step 00022 (3.06%) | loss: 2.458672 | lrm: 0.03 | dt: 477.83ms | tok/sec: 1,097,237 | mfu: 48.42 | total time: 0.11m
step 00023 (3.19%) | loss: 2.448851 | lrm: 0.03 | dt: 500.90ms | tok/sec: 1,046,686 | mfu: 46.19 | total time: 0.11m
step 00024 (3.32%) | loss: 2.439866 | lrm: 0.03 | dt: 469.11ms | tok/sec: 1,117,620 | mfu: 49.32 | total time: 0.12m
step 00025 (3.46%) | loss: 2.436357 | lrm: 0.03 | dt: 479.28ms | tok/sec: 1,093,902 | mfu: 48.28 | total time: 0.13m
step 00026 (3.58%) | loss: 2.428247 | lrm: 0.04 | dt: 663.13ms | tok/sec: 790,625 | mfu: 34.89 | total time: 0.14m
step 00027 (3.71%) | loss: 2.415740 | lrm: 0.04 | dt: 1213.37ms | tok/sec: 432,092 | mfu: 19.07 | total time: 0.16m
step 00028 (3.83%) | loss: 2.412722 | lrm: 0.04 | dt: 829.86ms | tok/sec: 631,778 | mfu: 27.88 | total time: 0.17m
step 00029 (3.96%) | loss: 2.406070 | lrm: 0.04 | dt: 661.82ms | tok/sec: 792,189 | mfu: 34.96 | total time: 0.19m
step 00030 (4.09%) | loss: 2.400609 | lrm: 0.04 | dt: 666.36ms | tok/sec: 786,792 | mfu: 34.72 | total time: 0.20m
step 00031 (4.22%) | loss: 2.396003 | lrm: 0.04 | dt: 641.41ms | tok/sec: 817,402 | mfu: 36.07 | total time: 0.21m
step 00032 (4.36%) | loss: 2.391901 | lrm: 0.04 | dt: 681.39ms | tok/sec: 769,437 | mfu: 33.96 | total time: 0.22m
step 00033 (4.48%) | loss: 2.387122 | lrm: 0.04 | dt: 544.78ms | tok/sec: 962,380 | mfu: 42.47 | total time: 0.23m
step 00034 (4.60%) | loss: 2.382385 | lrm: 0.05 | dt: 579.38ms | tok/sec: 904,913 | mfu: 39.94 | total time: 0.24m
step 00035 (4.73%) | loss: 2.372068 | lrm: 0.05 | dt: 471.07ms | tok/sec: 1,112,982 | mfu: 49.12 | total time: 0.25m
step 00036 (4.86%) | loss: 2.358689 | lrm: 0.05 | dt: 672.29ms | tok/sec: 779,858 | mfu: 34.42 | total time: 0.26m
step 00037 (4.99%) | loss: 2.340744 | lrm: 0.05 | dt: 468.63ms | tok/sec: 1,118,772 | mfu: 49.37 | total time: 0.26m
step 00038 (5.13%) | loss: 2.348524 | lrm: 0.05 | dt: 478.13ms | tok/sec: 1,096,531 | mfu: 48.39 | total time: 0.27m
step 00039 (5.28%) | loss: 2.337703 | lrm: 0.05 | dt: 738.49ms | tok/sec: 709,950 | mfu: 31.33 | total time: 0.28m
step 00040 (5.40%) | loss: 2.337718 | lrm: 0.05 | dt: 466.58ms | tok/sec: 1,123,675 | mfu: 49.59 | total time: 0.29m
step 00041 (5.54%) | loss: 2.320164 | lrm: 0.06 | dt: 742.54ms | tok/sec: 706,069 | mfu: 31.16 | total time: 0.30m
step 00042 (5.67%) | loss: 2.313745 | lrm: 0.06 | dt: 468.83ms | tok/sec: 1,118,278 | mfu: 49.35 | total time: 0.31m
step 00043 (5.80%) | loss: 2.299428 | lrm: 0.06 | dt: 481.23ms | tok/sec: 1,089,486 | mfu: 48.08 | total time: 0.32m
step 00044 (5.92%) | loss: 2.290246 | lrm: 0.06 | dt: 480.03ms | tok/sec: 1,092,194 | mfu: 48.20 | total time: 0.33m
step 00045 (6.06%) | loss: 2.287020 | lrm: 0.06 | dt: 872.38ms | tok/sec: 600,983 | mfu: 26.52 | total time: 0.34m
step 00046 (6.19%) | loss: 2.274129 | lrm: 0.06 | dt: 1077.10ms | tok/sec: 486,760 | mfu: 21.48 | total time: 0.36m
step 00047 (6.34%) | loss: 2.278720 | lrm: 0.06 | dt: 469.22ms | tok/sec: 1,117,359 | mfu: 49.31 | total time: 0.37m
step 00048 (6.48%) | loss: 2.275299 | lrm: 0.06 | dt: 662.06ms | tok/sec: 791,903 | mfu: 34.95 | total time: 0.38m
step 00049 (6.60%) | loss: 2.260967 | lrm: 0.07 | dt: 699.19ms | tok/sec: 749,845 | mfu: 33.09 | total time: 0.39m
step 00050 (6.73%) | loss: 2.246376 | lrm: 0.07 | dt: 575.54ms | tok/sec: 910,943 | mfu: 40.20 | total time: 0.40m
step 00051 (6.86%) | loss: 2.230246 | lrm: 0.07 | dt: 468.51ms | tok/sec: 1,119,058 | mfu: 49.39 | total time: 0.41m
