2025-10-15 18:50:50,616 - nanochat.checkpoint_manager - [32m[1mINFO[0m - No model tag provided, guessing model tag: d20
2025-10-15 18:50:50,617 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Loading model from /root/.cache/nanochat/mid_checkpoints/d20 with step 765
2025-10-15 18:50:51,731 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Building model with config: {'sequence_len': 2048, 'vocab_size': 65536, 'n_layer': 20, 'n_head': 10, 'n_kv_head': 10, 'n_embd': 1280}
Target examples per step: 32
Device batch size: 4
Examples per step is device_batch_size * ddp_world_size: 32
=> Setting grad accum steps: 1
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Muon: Grouping 80 params of shape torch.Size([1280, 1280]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([1280, 5120]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([5120, 1280]), device cuda:0, dtype torch.float32
Step 00000 | Validation loss: 1.079310
Step 00000/00651 | Training loss: 0.956052| lrm: 1.000000| num_tokens: 15,432
Step 00001/00651 | Training loss: 0.944759| lrm: 0.998464| num_tokens: 15,909
Step 00002/00651 | Training loss: 0.721290| lrm: 0.996928| num_tokens: 11,357
Step 00003/00651 | Training loss: 1.329755| lrm: 0.995392| num_tokens: 16,114
Step 00004/00651 | Training loss: 1.263507| lrm: 0.993856| num_tokens: 14,531
Step 00005/00651 | Training loss: 1.111042| lrm: 0.992320| num_tokens: 10,297
Step 00006/00651 | Training loss: 1.009765| lrm: 0.990783| num_tokens: 10,573
Step 00007/00651 | Training loss: 1.414289| lrm: 0.989247| num_tokens: 15,292
Step 00008/00651 | Training loss: 1.161484| lrm: 0.987711| num_tokens: 9,404
Step 00009/00651 | Training loss: 0.827724| lrm: 0.986175| num_tokens: 5,531
Step 00010/00651 | Training loss: 0.577117| lrm: 0.984639| num_tokens: 11,459
Step 00011/00651 | Training loss: 0.978753| lrm: 0.983103| num_tokens: 11,072
Step 00012/00651 | Training loss: 1.485756| lrm: 0.981567| num_tokens: 6,950
Step 00013/00651 | Training loss: 1.004325| lrm: 0.980031| num_tokens: 11,350
Step 00014/00651 | Training loss: 1.132172| lrm: 0.978495| num_tokens: 13,595
Step 00015/00651 | Training loss: 0.779517| lrm: 0.976959| num_tokens: 7,334
Step 00016/00651 | Training loss: 1.074140| lrm: 0.975422| num_tokens: 11,172
Step 00017/00651 | Training loss: 0.791637| lrm: 0.973886| num_tokens: 8,160
Step 00018/00651 | Training loss: 1.093641| lrm: 0.972350| num_tokens: 13,808
Step 00019/00651 | Training loss: 0.378295| lrm: 0.970814| num_tokens: 9,144
Step 00020/00651 | Training loss: 0.424352| lrm: 0.969278| num_tokens: 13,832
Step 00021/00651 | Training loss: 0.912989| lrm: 0.967742| num_tokens: 8,456
Step 00022/00651 | Training loss: 0.960661| lrm: 0.966206| num_tokens: 7,237
Step 00023/00651 | Training loss: 0.516154| lrm: 0.964670| num_tokens: 8,932
Step 00024/00651 | Training loss: 0.855904| lrm: 0.963134| num_tokens: 11,920
Step 00025/00651 | Training loss: 0.638800| lrm: 0.961598| num_tokens: 11,861
Step 00026/00651 | Training loss: 1.142938| lrm: 0.960061| num_tokens: 12,663
Step 00027/00651 | Training loss: 1.118324| lrm: 0.958525| num_tokens: 9,776
Step 00028/00651 | Training loss: 0.939675| lrm: 0.956989| num_tokens: 10,586
Step 00029/00651 | Training loss: 0.561548| lrm: 0.955453| num_tokens: 10,399
Step 00030/00651 | Training loss: 0.416892| lrm: 0.953917| num_tokens: 11,440
Step 00031/00651 | Training loss: 0.906675| lrm: 0.952381| num_tokens: 7,149
Step 00032/00651 | Training loss: 1.058299| lrm: 0.950845| num_tokens: 10,146
Step 00033/00651 | Training loss: 0.802644| lrm: 0.949309| num_tokens: 13,299
Step 00034/00651 | Training loss: 0.904548| lrm: 0.947773| num_tokens: 16,126
Step 00035/00651 | Training loss: 0.897334| lrm: 0.946237| num_tokens: 10,816
Step 00036/00651 | Training loss: 0.801559| lrm: 0.944700| num_tokens: 11,641
Step 00037/00651 | Training loss: 1.357676| lrm: 0.943164| num_tokens: 10,465
Step 00038/00651 | Training loss: 1.199187| lrm: 0.941628| num_tokens: 11,988
Step 00039/00651 | Training loss: 1.045616| lrm: 0.940092| num_tokens: 12,624
Step 00040/00651 | Training loss: 0.973095| lrm: 0.938556| num_tokens: 10,752
Step 00041/00651 | Training loss: 0.626063| lrm: 0.937020| num_tokens: 7,080
Step 00042/00651 | Training loss: 1.162852| lrm: 0.935484| num_tokens: 11,835
Step 00043/00651 | Training loss: 1.279008| lrm: 0.933948| num_tokens: 13,249
Step 00044/00651 | Training loss: 0.515278| lrm: 0.932412| num_tokens: 8,708
Step 00045/00651 | Training loss: 1.426125| lrm: 0.930876| num_tokens: 11,727
Step 00046/00651 | Training loss: 1.130333| lrm: 0.929339| num_tokens: 15,331
Step 00047/00651 | Training loss: 1.136087| lrm: 0.927803| num_tokens: 11,482
Step 00048/00651 | Training loss: 0.971476| lrm: 0.926267| num_tokens: 13,118
Step 00049/00651 | Training loss: 1.030427| lrm: 0.924731| num_tokens: 6,116
Step 00050/00651 | Training loss: 1.509271| lrm: 0.923195| num_tokens: 15,859
Step 00051/00651 | Training loss: 0.792049| lrm: 0.921659| num_tokens: 8,193
Step 00052/00651 | Training loss: 0.901633| lrm: 0.920123| num_tokens: 12,343
Step 00053/00651 | Training loss: 0.951668| lrm: 0.918587| num_tokens: 11,690
Step 00054/00651 | Training loss: 0.836545| lrm: 0.917051| num_tokens: 10,379
Step 00055/00651 | Training loss: 0.486240| lrm: 0.915515| num_tokens: 12,278
Step 00056/00651 | Training loss: 0.922914| lrm: 0.913978| num_tokens: 12,330
Step 00057/00651 | Training loss: 0.818013| lrm: 0.912442| num_tokens: 12,984
Step 00058/00651 | Training loss: 0.808999| lrm: 0.910906| num_tokens: 10,527
Step 00059/00651 | Training loss: 1.005287| lrm: 0.909370| num_tokens: 10,475
Step 00060/00651 | Training loss: 0.416205| lrm: 0.907834| num_tokens: 12,859
Step 00061/00651 | Training loss: 0.849342| lrm: 0.906298| num_tokens: 9,833
Step 00062/00651 | Training loss: 1.124070| lrm: 0.904762| num_tokens: 14,447
Step 00063/00651 | Training loss: 1.053927| lrm: 0.903226| num_tokens: 12,273
Step 00064/00651 | Training loss: 1.089871| lrm: 0.901690| num_tokens: 9,206
Step 00065/00651 | Training loss: 0.351285| lrm: 0.900154| num_tokens: 8,682
